lat,lon,time,H1000,H850,PBLTOP,PS,SLP,T10M,T2M,T2MDEW,T850,TS,U10M,U2M,U50M,V10M,V2M,V50M
48.0,5.625,2014-01-02 01:30:00,28.100958,1359.5107,93518.45,96184.555,100335.44,279.74725,279.54333,278.8326,275.60028,279.09924,2.3855388,1.6446826,3.4007688,10.841015,7.473098,14.220939
48.0,5.625,2014-01-02 02:30:00,23.296627,1354.3629,93069.06,96128.39,100277.86,279.62735,279.4529,278.8146,275.37494,279.0528,2.6016712,1.7954595,3.6193576,11.025343,7.6091895,14.324617
48.0,5.625,2014-01-02 03:30:00,19.32112,1351.0465,90426.25,96087.2,100230.33,279.6077,279.44635,278.8027,275.52304,279.10242,2.876851,1.9860252,4.0307064,11.182337,7.722013,14.623527
48.0,5.625,2014-01-02 04:30:00,20.203955,1352.0326,89519.58,96092.12,100241.18,279.93692,279.75137,278.9751,275.5483,279.3704,3.6050282,2.4874523,4.974141,10.818537,7.4639277,14.217708
48.0,5.625,2014-01-02 05:30:00,26.282036,1356.4917,85596.34,96143.04,100315.34,280.0688,279.86935,279.04868,275.2209,279.42093,4.6770716,3.223474,6.6392527,9.467434,6.5236425,12.665243
48.0,5.625,2014-01-02 06:30:00,33.05954,1361.8763,86989.55,96198.63,100398.56,280.00183,279.79385,278.97113,274.6313,279.3221,5.680935,3.9129329,7.8374805,8.597818,5.922981,11.387547
48.0,5.625,2014-01-02 07:30:00,36.72277,1364.7788,90961.56,96241.18,100443.49,279.847,279.62686,278.97583,273.8335,279.13547,4.708047,3.228707,6.6038275,7.344426,5.038144,9.82799
48.0,5.625,2014-01-02 08:30:00,41.012993,1368.7174,87437.34,96287.125,100495.695,280.16263,279.96136,279.1542,273.42227,279.61475,4.8376555,3.3205624,7.0471907,6.916295,4.7467833,9.223299
48.0,5.625,2014-01-02 09:30:00,45.17848,1372.3063,87439.65,96335.58,100545.92,280.8977,280.7909,279.53528,273.37775,280.68262,5.760393,3.9808168,8.023805,6.351163,4.384691,8.184177
48.0,5.625,2014-01-02 10:30:00,49.914474,1376.9504,87779.81,96390.48,100603.44,281.36584,281.33493,279.74677,273.4668,281.33777,6.1858907,4.2897573,8.444849,5.5839643,3.8723073,7.0723724
48.0,5.625,2014-01-02 11:30:00,52.415928,1380.2771,88494.25,96420.21,100634.0,281.86905,281.846,279.8,273.9253,281.8473,6.5199127,4.5253315,8.7761545,4.935377,3.4234598,6.2639503
48.0,5.625,2014-01-02 12:30:00,55.31161,1383.915,87810.51,96455.42,100668.97,282.2002,282.18567,279.81744,274.00375,282.19263,6.3136888,4.3863287,8.390181,4.3452363,3.0167108,5.5272603
48.0,5.625,2014-01-02 13:30:00,58.340263,1387.7798,91421.336,96491.02,100705.4,282.22504,282.12036,279.9994,274.0874,281.82568,5.1888924,3.5726447,7.140013,3.8080418,2.61946,5.0793777
48.0,5.625,2014-01-02 14:30:00,64.21537,1393.6654,92249.56,96559.75,100777.15,281.8666,281.64197,280.06824,274.14627,281.0417,4.45976,3.0161152,6.6752706,3.4586797,2.3372183,5.0659037
48.0,5.625,2014-01-02 15:30:00,71.09246,1399.7747,93061.39,96632.98,100861.17,281.0074,280.63647,279.72723,274.10968,279.7657,3.8617358,2.5354877,6.5391216,3.0610423,2.0062747,5.075802
48.0,5.625,2014-01-02 16:30:00,76.979256,1405.0781,89524.16,96704.18,100933.3,280.20425,279.75592,279.28375,274.01956,278.8916,3.548334,2.2810194,6.476986,2.898531,1.8562275,5.20161
48.0,5.625,2014-01-02 17:30:00,81.1192,1408.8348,91130.92,96749.77,100984.17,279.51355,279.01788,278.90936,273.77203,278.085,3.140563,1.9906707,5.93954,3.07158,1.9373741,5.7053432
48.0,5.625,2014-01-02 18:30:00,81.82535,1410.2024,95208.67,96768.41,100990.86,278.65405,278.0947,278.50284,273.7229,277.0912,2.3570817,1.4647177,4.5870385,3.4900045,2.1606734,6.713887
48.0,5.625,2014-01-02 19:30:00,80.48853,1409.985,95913.41,96755.2,100973.27,278.45013,278.00565,278.31125,273.883,277.29205,1.8345114,1.1793427,3.1809998,4.210535,2.6941137,7.282363
48.0,5.625,2014-01-02 20:30:00,80.52799,1411.0846,95896.1,96761.52,100972.68,278.37842,278.0926,278.17307,274.17755,277.6246,1.4568459,0.968261,2.3141532,4.502494,2.9655042,7.2017546
48.0,5.625,2014-01-02 21:30:00,82.24983,1413.0957,96054.3,96777.16,100993.375,278.203,278.02783,277.95538,274.36377,277.6862,1.4677181,0.9954971,2.1366372,4.675396,3.145527,6.8883467
48.0,5.625,2014-01-02 22:30:00,84.37043,1414.461,96037.43,96799.2,101019.16,277.89462,277.8,277.60898,274.32608,277.5821,1.4559175,0.9977237,2.0884855,4.8244567,3.2984412,6.605998
48.0,5.625,2014-01-02 23:30:00,83.27998,1413.4033,95835.14,96792.67,101004.734,277.50012,277.45258,277.203,274.3387,277.3255,1.1105762,0.7647575,1.6013392,4.8344145,3.3333697,6.3806624
